
timing,itemName,T7,T8,BW_4_3,BW_5_2,BW_5_3,BW_6_1,BW_6_2,BW_lastChecked,FS_4_3,FS_5_2,FS_5_3,FS_T6_1,FS_T6_2,FS_lastChecked,alternativeTier
Weekly,Hammer of Justice,270.334,635.175,248.000,274.000,716.000,333.000,659.000,12-11-2024,263.000,239.000,704.000,265.000,744.000,13-11-2024,
Weekly,Earthrune Staff,275.834,723.600,265.000,304.000,816.000,310.000,863.000,12-11-2024,209.000,249.000,730.000,318.000,807.000,13-11-2024,
Monthly,1h Hammer,93.000,384.975,162.000,78.000,492.000,80.000,398.000,12-11-2024,90.000,66.000,478.000,82.000,343.000,13-11-2024,
Monthly,Heavy Mace,134.334,543.600,163.000,138.000,588.000,114.000,612.000,12-11-2024,138.000,128.000,621.000,125.000,595.000,13-11-2024,
Monthly,Bedrock,132.167,447.075,161.000,136.000,516.000,179.000,456.000,12-11-2024,106.000,101.000,531.000,110.000,484.000,13-11-2024,
Monthly,Oathkeepers,191.167,505.575,221.000,214.000,590.000,264.000,533.000,12-11-2024,154.000,167.000,590.000,127.000,534.000,13-11-2024,
Monthly,Icicle staff,151.000,460.350,224.000,149.000,300.000,136.000,675.000,12-11-2024,172.000,92.000,600.000,133.000,471.000,13-11-2024,
Weekly,Perma,237.500,550.125,222.000,298.000,627.000,281.000,662.000,12-11-2024,168.000,229.000,578.000,227.000,578.000,13-11-2024,
Weekly,Rootbound,241.334,625.725,265.000,265.000,730.000,270.000,706.000,12-11-2024,195.000,199.000,704.000,254.000,641.000,13-11-2024,
Monthly,Realmbreaker,171.834,383.400,171.000,166.000,438.000,190.000,464.000,12-11-2024,162.000,156.000,408.000,186.000,394.000,13-11-2024,
Monthly,Spirithunter,140.834,444.150,135.000,156.000,498.000,148.000,548.000,12-11-2024,128.000,140.000,462.000,138.000,466.000,13-11-2024,
Weekly,Spiked Gauntlets,162.834,537.075,236.000,121.000,582.000,134.000,576.000,12-11-2024,224.000,134.000,653.000,128.000,576.000,13-11-2024,
Weekly,Hellfire Hands,205.334,562.050,224.000,190.000,653.000,170.000,679.000,12-11-2024,237.000,203.000,593.000,208.000,573.000,13-11-2024,
Weekly,Hallowfall,228.334,445.500,215.000,216.000,521.000,290.000,515.000,12-11-2024,205.000,205.000,493.000,239.000,451.000,13-11-2024,
Weekly,Blight,169.000,486.225,188.000,167.000,576.000,180.000,592.000,12-11-2024,163.000,153.000,503.000,163.000,490.000,13-11-2024,
Monthly,Lifecurse,148.500,477.675,175.000,171.000,555.000,162.000,569.000,12-11-2024,125.000,125.000,512.000,133.000,487.000,13-11-2024,
Monthly,Damnation,229.834,676.575,201.000,207.000,785.000,253.000,754.000,12-11-2024,215.000,221.000,760.000,282.000,708.000,13-11-2024,
Monthly,1h Arcane,89.667,315.450,123.000,77.000,420.000,72.000,300.000,12-11-2024,113.000,78.000,339.000,75.000,343.000,13-11-2024,
Monthly,Locus,183.834,524.475,193.000,225.000,635.000,141.000,664.000,12-11-2024,197.000,174.000,540.000,173.000,492.000,13-11-2024,
Monthly,Great Arcane,155.000,466.650,214.000,151.000,517.000,113.000,520.000,12-11-2024,205.000,132.000,576.000,115.000,461.000,13-11-2024,
Weekly,Occult,219.667,535.950,236.000,242.000,649.000,212.000,515.000,12-11-2024,245.000,205.000,669.000,178.000,549.000,13-11-2024,
Monthly,Leering Cane,57.834,192.825,63.000,82.000,287.000,70.000,276.000,12-11-2024,40.000,46.000,162.000,46.000,132.000,13-11-2024,
Monthly,Mistcaller,59.334,155.475,50.000,50.000,195.000,84.000,176.000,12-11-2024,43.000,52.000,158.000,77.000,162.000,13-11-2024,
Monthly,Shield of Aegis,78.000,162.450,80.000,82.000,180.000,78.000,190.000,12-11-2024,77.000,77.000,173.000,74.000,179.000,13-11-2024,
Monthly,Assassin Hood,43.334,153.900,59.000,37.000,158.000,35.000,163.000,12-11-2024,55.000,38.000,179.000,36.000,184.000,13-11-2024,
Monthly,Cleric Cowl,23.167,93.375,33.000,17.000,118.000,18.000,100.000,12-11-2024,37.000,15.000,109.000,19.000,88.000,13-11-2024,
Monthly,Judicator Helmet,80.667,186.750,69.000,89.000,188.000,115.000,205.000,12-11-2024,47.000,79.000,204.000,85.000,233.000,13-11-2024,
Monthly,Knight Helmet,28.334,110.925,51.000,20.000,156.000,19.000,90.000,12-11-2024,39.000,19.000,151.000,22.000,96.000,13-11-2024,
Monthly,Judicator Armor,233.167,396.000,103.000,319.000,433.000,311.000,458.000,12-11-2024,128.000,269.000,413.000,269.000,456.000,13-11-2024,
Weekly,Duskweaver Armor,308.167,567.000,109.000,453.000,631.000,374.000,651.000,12-11-2024,112.000,458.000,608.000,343.000,630.000,13-11-2024,
Monthly,Knight Armor,54.667,182.700,59.000,43.000,219.000,47.000,182.000,12-11-2024,84.000,41.000,228.000,54.000,183.000,13-11-2024,
Monthly,Guardian Armor,59.500,204.750,69.000,52.000,240.000,48.000,213.000,12-11-2024,85.000,54.000,241.000,49.000,216.000,13-11-2024,
Weekly,Royal Jacket,272.000,579.600,278.000,,595.000,,595.000,12-11-2024,270.000,270.000,693.000,270.000,693.000,13-11-2024,
Monthly,Demon Armor,66.667,243.225,44.000,93.000,275.000,68.000,286.000,12-11-2024,46.000,79.000,280.000,70.000,240.000,13-11-2024,
Monthly,Jacket of Tenacity,173.834,357.300,173.000,175.000,401.000,209.000,362.000,12-11-2024,164.000,158.000,422.000,164.000,403.000,13-11-2024,
Monthly,Scholar Robe,58.334,189.225,104.000,40.000,238.000,45.000,185.000,12-11-2024,73.000,42.000,241.000,46.000,177.000,13-11-2024,
Monthly,Cleric Robe,67.000,194.850,95.000,62.000,268.000,68.000,198.000,12-11-2024,71.000,47.000,208.000,59.000,192.000,13-11-2024,
Monthly,Robe of Purity,219.834,304.425,207.000,216.000,369.000,265.000,359.000,12-11-2024,199.000,196.000,304.000,236.000,321.000,13-11-2024,
Weekly,Feyscale Robe,695.834,915.300,452.000,752.000,1.030.000,885.000,1.030.000,12-11-2024,447.000,870.000,1.010.000,769.000,998.000,13-11-2024,
Weekly,Armor of Valor,111.667,286.650,101.000,100.000,324.000,150.000,213.000,12-11-2024,109.000,85.000,408.000,125.000,329.000,13-11-2024,
Weekly,Feyscale Sandals,227.167,351.000,154.000,200.000,390.000,240.000,351.000,12-11-2024,153.000,278.000,422.000,338.000,397.000,13-11-2024,
Monthly,Mercenary Shoes,56.000,138.150,70.000,43.000,147.000,42.000,136.000,12-11-2024,74.000,57.000,170.000,50.000,161.000,13-11-2024,
Monthly,Graveguard Boots,52.667,160.875,46.000,53.000,168.000,67.000,183.000,12-11-2024,40.000,47.000,186.000,63.000,178.000,13-11-2024,
Weekly,Boots of Valor,126.334,189.450,114.000,117.000,205.000,140.000,212.000,12-11-2024,117.000,132.000,188.000,138.000,237.000,13-11-2024,
Monthly,Stalker Shoes,78.167,173.475,61.000,70.000,186.000,99.000,204.000,12-11-2024,63.000,73.000,168.000,103.000,213.000,13-11-2024,
Monthly,Cleric Sandals,41.334,133.200,51.000,28.000,150.000,29.000,109.000,12-11-2024,75.000,33.000,211.000,32.000,122.000,13-11-2024,
Monthly,Bloodletter,175.500,501.075,150.000,134.000,530.000,223.000,658.000,26-11-2024,188.000,176.000,508.000,182.000,531.000,26-11-2024,
Weekly,Rift Glaive,374.000,1.120.500,377.000,377.000,1.240.000,377.000,1.240.000,26-11-2024,371.000,371.000,1.250.000,371.000,1.250.000,26-11-2024,
Monthly,Druid Cowl,72.752,198.000,63.000,96.000,237.000,76.000,219.000,26-11-2024,54.418,62.933,221.000,84.156,203.000,26-11-2024,
Monthly,Dawnsong,175.500,641.925,170.000,170.000,775.000,212.000,679.000,26-11-2024,162.000,168.000,693.000,171.000,706.000,26-11-2024,
Weekly,Carving Sword,211.334,578.925,230.000,239.000,649.000,235.000,670.000,26-11-2024,180.000,196.000,669.000,188.000,585.000,26-11-2024,
Monthly,Soldier Helmet,39.786,158.805,49.000,35.000,194.000,37.500,168.800,26-11-2024,48.978,37.763,185.000,30.471,158.000,26-11-2024,
Monthly,Facebreaker,151.000,285.975,150.000,174.000,325.000,150.000,300.000,26-11-2024,127.000,150.000,372.000,155.000,274.000,26-11-2024,
Monthly,Grovekeeper,292.834,693.900,470.000,323.000,750.000,420.000,834.000,26-11-2024,150.000,164.000,750.000,230.000,750.000,26-11-2024,
Monthly,Mistwalker Jacket,586.167,872.325,250.000,800.000,875.000,999.000,1.000.000,26-11-2024,263.000,705.000,922.000,500.000,1.080.000,26-11-2024,
Monthly,Royal Shoes,252.500,504.000,320.000,,666.000,,600.000,26-11-2024,230.000,230.000,487.000,230.000,487.000,26-11-2024,
Monthly,Cowl of Purity,112.301,180.225,124.000,120.000,235.000,125.000,220.000,26-11-2024,112.000,100.000,181.000,92.802,165.000,26-11-2024,
Monthly,Fists of Avalon,308.667,737.550,348.000,329.000,990.000,350.000,900.000,26-11-2024,296.000,252.000,720.000,277.000,668.000,26-11-2024,
Monthly,Great Holy Staff,130.000,467.550,180.000,134.000,600.000,104.000,475.000,26-11-2024,139.000,114.000,479.000,109.000,524.000,26-11-2024,
Monthly,Royal Sandals,163.500,367.200,165.000,,395.000,,395.000,26-11-2024,163.000,163.000,421.000,163.000,421.000,26-11-2024,
Monthly,Mistwalker hood,208.749,372.375,181.000,,410.000,467.000,503.000,26-11-2024,70.743,139.000,364.000,186.000,378.000,27-11-2024,
Monthly,Redemption Staff,224.072,570.382,241.404,239.967,644.944,249.900,652.993,01-12-2024,173.594,179.768,649.973,259.799,587.119,01-12-2024,
Monthly,Mercenary Hood,50.420,136.225,45.712,54.968,190.614,39.221,120.227,02-12-2024,59.820,56.187,174.171,46.609,120.432,02-12-2024,
Monthly,Spiked Gauntlets T9,1.965.007,#DIV/0!,2.000.000,2.070.000,,2.070.000,,04-12-2024,1.878.892,1.966.664,,1.804.484,,04-12-2024,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Hunter Jacket,78.946,224.497,96.794,76.607,296.000,68.309,230.603,04-12-2024,96.008,66.219,236.111,69.737,235.047,04-12-2024,
Monthly,Longbow,134.041,571.325,193.512,148.179,752.622,116.964,603.202,08-12-2024,131.223,110.498,582.968,103.865,600.432,08-12-2024,
Monthly,Hellion Jacket,153.034,296.465,113.845,166.842,343.091,173.711,346.641,09-12-2024,111.724,170.611,310.773,181.471,317.117,09-12-2024,
Monthly,Infernal Scythe,142.118,429.624,119.533,144.509,495.695,170.089,469.320,09-12-2024,112.471,140.397,469.060,165.707,475.362,09-12-2024,
Monthly,Staff of Balance,319.100,686.926,318.982,290.627,713.273,244.763,714.491,12-12-2024,400.709,362.240,903.604,297.278,721.635,12-12-2024,
Monthly,Hellion Hood,71.914,239.136,57.227,67.362,282.148,76.122,275.890,12-12-2024,63.541,84.639,249.790,82.590,254.999,12-12-2024,
Monthly,Celestial Censer,102.530,249.553,99.481,115.486,259.675,104.079,283.627,15-12-2024,100.882,107.899,277.300,87.349,288.520,15-12-2024,
Monthly,Mace,149.512,471.417,216.526,149.002,652.932,102.147,440.392,15-12-2024,170.538,143.636,490.112,115.220,511.749,15-12-2024,
Monthly,Astral Staff,424.044,1.025.775,429.796,,1.176.554,,1.149.400,19-12-2024,418.292,,1.151.102,,1.081.943,19-12-2024,6.2->4.4
Monthly,Feyscale Hat,92.578,260.114,36.477,160.554,337.327,84.214,325.659,19-12-2024,78.548,89.791,247.632,105.880,245.444,19-12-2024,
Monthly,Enigmatic Staff,112.123,409.100,173.132,88.113,544.027,103.768,421.757,19-12-2024,110.942,81.311,434.606,115.469,417.832,19-12-2024,
Monthly,Taproot,126.343,282.796,111.462,119.227,294.337,140.670,294.669,22-12-2024,119.271,133.199,261.451,134.227,280.726,22-12-2024,
Monthly,Specter Hood,157.345,217.683,125.848,177.302,233.999,171.370,250.535,26-12-2024,117.033,170.107,236.484,182.405,246.460,26-12-2024,
Monthly,Great Hammer,161.897,606.804,155.315,161.752,515.387,149.409,613.667,29-12-2024,207.557,149.786,654.598,147.558,643.561,29-12-2024,
Monthly,Cursed Skull,164.619,609.730,172.534,140.333,749.999,141.775,593.223,29-12-2024,179.874,168.165,583.701,185.028,511.996,29-12-2024,
Monthly,Wailing Bow,141.756,703.026,,,,,,,178.345,110.885,664.782,136.037,741.269,03-01-2025,
Monthly,Spirithunter T9,2.083.011,,,,,,,,2.029.306,2.039.414,,2.180.313,,05-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Perma T9,2.309.475,,,,,,,,2.078.426,2.200.000,,2.649.999,,05-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Longbow T9,1.560.899,,,,,,,,1.592.999,1.529.998,,1.559.700,,05-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Cryptcandle,145.294,315.784,,,,,,,111.963,147.908,305.073,176.009,326.494,05-01-2025,
Monthly,Witchwork Staff,117.444,510.760,,,,,,,113.192,138.724,508.003,100.414,513.517,05-01-2025,
Monthly,Mistwalker Shoes,184.901,430.708,,,,,,,145.520,262.591,462.342,146.592,399.074,05-01-2025,
Monthly,Realmbreaker T9,1.884.848,,,,,,,,1.749.988,1.711.221,,2.193.333,,06-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Caitiff Shield,56.439,198.388,,,,,,,82.773,48.012,261.250,38.532,135.526,06-01-2025,
Monthly,Wailing Bow T9,2.210.416,,,,,,,,2.099.999,2.499.999,,2.031.249,,06-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Royal Hood,245.462,484.952,,,,,,,201.718,289.205,558.870,,411.034,06-01-2025,
Monthly,Assassin Jacket,110.328,319.455,,,,,,,130.159,101.571,318.567,99.252,320.343,07-01-2025,
